latitude,longitude,city,numberofcalls,bouroughs,state,zipcode,location
40.72277419,-73.98517963,NEW YORK,26,MANHATTAN, NY,10009,Club/Bar/Restaurant
40.70279083,-73.92937189,,21,BROOKLYN, NY,11237,Club/Bar/Restaurant
40.67301996,-73.98651012,,19,BROOKLYN, NY,11215,Club/Bar/Restaurant
40.62986376,-74.02845743,,15,BROOKLYN, NY,11209,Club/Bar/Restaurant
40.7378916,-73.71046402,GLEN OAKS,44,QUEENS, NY,11004,Club/Bar/Restaurant
40.73683863,-73.98783593,NEW YORK,24,MANHATTAN, NY,10003,Club/Bar/Restaurant
40.74736158,-73.88645672,JACKSON HEIGHTS,24,QUEENS, NY,11372,Club/Bar/Restaurant
40.6301397,-74.10879366,STATEN ISLAND,53,STATEN ISLAND, NY,10310,Club/Bar/Restaurant
40.68598692,-73.99416238,,11,BROOKLYN, NY,11201,Club/Bar/Restaurant
40.7505438,-73.99836504,NEW YORK,10,MANHATTAN, NY,10001,Club/Bar/Restaurant
40.68282211,-73.93799942,,,BROOKLYN, NY,11216,Club/Bar/Restaurant
40.73416286,-74.00798156,NEW YORK,57,MANHATTAN, NY,10014,Club/Bar/Restaurant
40.66046172,-73.98033486,,73,BROOKLYN, NY,11215,Club/Bar/Restaurant
40.7440955,-73.98561878,NEW YORK,38,MANHATTAN, NY,10016,Club/Bar/Restaurant
40.80452411,-73.95530368,NEW YORK,12,MANHATTAN, NY,10026,Club/Bar/Restaurant
40.65162237,-74.00447957,,17,BROOKLYN, NY,11232,Club/Bar/Restaurant
40.76527581,-73.91791611,ASTORIA,29,QUEENS, NY,11103,Club/Bar/Restaurant
40.51358865,-74.25123739,STATEN ISLAND,50,STATEN ISLAND, NY,10307,Club/Bar/Restaurant
40.72136411,-73.99266213,NEW YORK,78,MANHATTAN, NY,10002,Club/Bar/Restaurant
40.70753056,-73.78659995,JAMAICA,388,QUEENS, NY,11433,Club/Bar/Restaurant
40.85359837,-73.93061428,NEW YORK,18,MANHATTAN, NY,10040,Club/Bar/Restaurant
40.69940259,-73.92745325,,19,BROOKLYN, NY,11221,Club/Bar/Restaurant
40.86618344,-73.91893043,NEW YORK,87,MANHATTAN, NY,10034,Club/Bar/Restaurant
40.8692067,-73.9169743,NEW YORK,30,MANHATTAN, NY,10034,Club/Bar/Restaurant
40.76743782,-73.92062464,ASTORIA,112,QUEENS, NY,11102,Club/Bar/Restaurant
40.86592029,-73.92770907,New York,117,MANHATTAN, NY,10034,Club/Bar/Restaurant
40.71758787,-73.95731359,,38,BROOKLYN, NY,11211,Club/Bar/Restaurant
40.69058524,-73.95831169,,55,BROOKLYN, NY,11205,Club/Bar/Restaurant
40.63367687,-74.00656803,,14,BROOKLYN, NY,11219,Club/Bar/Restaurant
40.70547174,-73.94290878,,68,BROOKLYN, NY,11206,Club/Bar/Restaurant
40.66820407,-73.9506476,,146,BROOKLYN, NY,11225,Club/Bar/Restaurant
40.72974957,-73.99961394,NEW YORK,41,MANHATTAN, NY,10012,Club/Bar/Restaurant
40.70342134,-73.90874124,RIDGEWOOD,109,QUEENS, NY,11385,Club/Bar/Restaurant
40.72933786,-74.0010319,NEW YORK,99,MANHATTAN, NY,10012,Club/Bar/Restaurant
40.71892321,-73.98452032,NEW YORK,57,MANHATTAN, NY,10002,Club/Bar/Restaurant
40.73211582,-73.86718968,REGO PARK,20,QUEENS, NY,11374,Club/Bar/Restaurant
40.66064331,-73.96062997,,162,BROOKLYN, NY,11225,Club/Bar/Restaurant
40.67904393,-73.96835251,,11,BROOKLYN, NY,11238,Club/Bar/Restaurant
40.77478495,-73.90877704,ASTORIA,,QUEENS, NY,11105,Club/Bar/Restaurant
40.61023813,-73.98370275,,22,BROOKLYN, NY,11204,Club/Bar/Restaurant
40.72959583,-74.00282511,NEW YORK,25,MANHATTAN, NY,10014,Club/Bar/Restaurant
40.68237476,-73.99342718,,11,BROOKLYN, NY,11231,Club/Bar/Restaurant
40.7212051,-73.99670626,NEW YORK,,MANHATTAN, NY,10012,Club/Bar/Restaurant
40.74173312,-74.00308184,NEW YORK,91,MANHATTAN, NY,10011,Club/Bar/Restaurant
40.78124208,-73.95223925,NEW YORK,14,MANHATTAN, NY,10128,Club/Bar/Restaurant
40.64018175,-73.95530567,,642,BROOKLYN, NY,11226,Club/Bar/Restaurant
40.71976847,-73.96084757,,16,BROOKLYN, NY,11249,Club/Bar/Restaurant
40.71134933,-73.95117114,,13,BROOKLYN, NY,11211,Club/Bar/Restaurant
40.71352894,-73.95887449,,17,BROOKLYN, NY,11211,Club/Bar/Restaurant
40.72630655,-73.98411452,NEW YORK,11,MANHATTAN, NY,10009,Club/Bar/Restaurant
40.74505782,-73.97860649,NEW YORK,13,MANHATTAN, NY,10016,Club/Bar/Restaurant
40.71461498,-73.99959599,NEW YORK,74,MANHATTAN, NY,10013,Club/Bar/Restaurant
40.71447021,-73.80246765,JAMAICA,,QUEENS, NY,11432,Club/Bar/Restaurant
40.86564533,-73.92693205,NEW YORK,26,MANHATTAN, NY,10034,Club/Bar/Restaurant
40.71823482,-73.98931116,NEW YORK,40,MANHATTAN, NY,10002,Club/Bar/Restaurant
40.72916768,-74.00119065,NEW YORK,15,MANHATTAN, NY,10012,Club/Bar/Restaurant
40.74011361,-74.00596145,NY,110,MANHATTAN, NY,10014,Club/Bar/Restaurant
40.72488931,-73.97828105,NEW YORK,88,MANHATTAN, NY,10009,Club/Bar/Restaurant
40.78131764,-73.94922052,NEW YORK,35,MANHATTAN, NY,10128,Club/Bar/Restaurant
40.59655143,-73.97703729,,67,BROOKLYN, NY,11223,Club/Bar/Restaurant
40.65778597,-73.95324671,,65,BROOKLYN, NY,11225,Club/Bar/Restaurant
40.70252976,-73.81356446,JAMAICA,15,QUEENS, NY,11435,Club/Bar/Restaurant
40.68321658,-73.95387066,,106,BROOKLYN, NY,11216,Club/Bar/Restaurant
40.74238268,-73.87090067,ELMHURST,83,QUEENS, NY,11373,Club/Bar/Restaurant
40.73941098,-74.00539123,NEW YORK,16,MANHATTAN, NY,10014,Club/Bar/Restaurant
